Idx,Ratio,Train,Val,Stuff,"Color_Code (R,G,B)",Color_Code(hex),Color,Name,Class_Name (ja),Color_SVG,Color_Description,Color_Emoji
1,0.1576,11664,1172,1,"(120, 120, 120)",#787878,,wall,壁,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",中間グレー,⬜
2,0.1072,6046,612,1,"(180, 120, 120)",#B47878,,building,建物,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
3,0.0878,8265,796,1,"(6, 230, 230)",#06E6E6,,sky,空,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(6%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るいグレー,⬜
4,0.0621,9336,917,1,"(80, 50, 50)",#503232,,floor,床,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(80%,50%,50%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",暗い赤,🟥
5,0.048,6678,641,0,"(4, 200, 3)",#04C803,,tree,木,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(4%,100%,3%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
6,0.045,6604,643,1,"(120, 120, 80)",#787850,,ceiling,シーリング,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,80%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",中間グレー,⬜
7,0.0398,4023,408,1,"(140, 140, 140)",#8C8C8C,,road,道,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",中間グレー,⬜
8,0.0231,1906,199,0,"(204, 5, 255)",#CC05FF,,bed ,ベッド,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,5%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
9,0.0198,4688,460,0,"(230, 230, 230)",#E6E6E6,,windowpane,ウィンドウペイン,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るいグレー,⬜
10,0.0183,2423,225,1,"(4, 250, 7)",#04FA07,,grass,草,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(4%,100%,7%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
11,0.0181,2874,294,0,"(224, 5, 255)",#E005FF,,cabinet,キャビネット,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,5%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
12,0.0166,3068,310,1,"(235, 255, 7)",#EBFF07,,sidewalk,歩道,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,7%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
13,0.016,5075,526,0,"(150, 5, 61)",#96053D,,person,人,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,5%,61%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",中間赤,🟥
14,0.0151,1804,190,1,"(120, 120, 70)",#787846,,earth,地球,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,70%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",中間グレー,⬜
15,0.0118,6666,796,0,"(8, 255, 51)",#08FF33,,door,ドア,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(8%,100%,51%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
16,0.011,4269,411,0,"(255, 6, 82)",#FF0652,,table,テーブル,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,6%,82%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
17,0.0109,1691,160,1,"(143, 255, 140)",#8FFF8C,,mountain,山,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
18,0.0104,3999,441,0,"(204, 255, 4)",#CCFF04,,plant,植物,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,4%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
19,0.0104,2149,217,0,"(255, 51, 7)",#FF3307,,curtain,カーテン,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,51%,7%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
20,0.0103,3261,318,0,"(204, 70, 3)",#CC4603,,chair,椅子,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,70%,3%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
21,0.0098,3164,306,0,"(0, 102, 200)",#0066C8,,car,車,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
22,0.0074,709,75,1,"(61, 230, 250)",#3DE6FA,,water,水,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(61%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
